folder,file,duration,rms,zcr,clipping_ratio,speech_len,silence_len,speech_ratio,num_segments,mean_segment_len
대출 사기형,1.mp3,83.382875,0.05040557,0.15828612906513814,0.0,63.096875,20.286,0.7567126343388855,24,2.629036458333333
대출 사기형,10.mp3,79.6676875,0.0948687,0.1673922251506024,0.0,68.7336875,10.933999999999997,0.862754896707652,14,4.909549107142857
대출 사기형,100.mp3,66.594875,0.062061027,0.09063808650036023,0.0,62.268875,4.3260000000000005,0.9350400462498053,10,6.2268875
대출 사기형,101.mp3,848.99125,0.08591205,0.10840092206404772,0.0,725.928,123.06325000000004,0.8550476815868243,198,3.6663030303030304
대출 사기형,102.mp3,131.680375,0.15009594,0.09252739879433916,0.0,109.332,22.348375000000004,0.8302831762136157,19,5.754315789473684
대출 사기형,103.mp3,154.900375,0.08902804,0.17945732899969014,8.069702865470791e-07,137.862375,17.03800000000001,0.8900067220624869,28,4.92365625
대출 사기형,104.mp3,488.3853125,0.08981667,0.16774973844018215,1.484483626849446e-05,458.516,29.869312499999978,0.9388406822737938,83,5.524289156626506
대출 사기형,105.mp3,305.760375,0.082508944,0.11375277149173295,0.0,248.716,57.044375,0.8134343765113449,85,2.9260705882352944
대출 사기형,106.mp3,383.524,0.034124702,0.18295828368773986,0.0,355.028,28.49599999999998,0.9256995650858878,51,6.961333333333334
대출 사기형,107.mp3,93.3616875,0.14272244,0.0962186817276388,8.033273820163115e-06,64.784,28.577687499999996,0.6939034815539298,36,1.7995555555555558
대출 사기형,108.mp3,128.05225,0.1569199,0.09836109777142679,0.0,114.628,13.424249999999986,0.895165840506512,23,4.983826086956522
대출 사기형,109.mp3,218.2791875,0.1397473,0.10079157104313251,0.0,189.252,29.027187499999997,0.8670180706073959,39,4.852615384615385
대출 사기형,11.mp3,509.979875,0.0696046,0.1564582173166217,0.0,405.064,104.91587499999997,0.7942744799488412,94,4.3091914893617025
대출 사기형,110.mp3,380.9959375,0.14344077,0.0854333486866969,0.0,340.696,40.2999375,0.8942247579739614,66,5.1620606060606065
대출 사기형,111.mp3,129.0710625,0.06241337,0.11062305849498016,0.0,90.2210625,38.85000000000001,0.6990030201386155,41,2.200513719512195
대출 사기형,112.mp3,273.8416875,0.052378714,0.0845412370004674,0.0,232.196,41.64568749999998,0.8479205708955472,63,3.6856507936507934
대출 사기형,113.mp3,243.0694375,0.048836313,0.09564983574825565,0.0,188.812,54.25743749999998,0.7767821489281227,37,5.103027027027028
대출 사기형,114.mp3,202.1878125,0.111987844,0.13868756119935907,0.0,121.764,80.42381250000001,0.602232144927133,71,1.7149859154929576
대출 사기형,115.mp3,90.227,0.089225136,0.12742530335771277,0.0,57.276,32.951,0.6347988961175701,25,2.29104
대출 사기형,116.mp3,123.062875,0.08823551,0.08742049877307592,0.0,114.708,8.354875000000007,0.9321088914914428,19,6.037263157894737
대출 사기형,117.mp3,105.11675,0.14703353,0.10005202387747336,1.7837309467806035e-06,94.10275,11.013999999999996,0.8952212658781783,26,3.6193365384615386
대출 사기형,118.mp3,42.1878125,0.035310786,0.1020163535348749,0.0,36.984,5.203812499999998,0.8766512840645625,10,3.6984000000000004
대출 사기형,119.mp3,405.5510625,0.09607102,0.11698184706387092,0.0,289.736,115.81506250000001,0.7144254491997539,102,2.840549019607843
대출 사기형,12.mp3,288.182875,0.062527664,0.09191430973101265,0.0,234.064,54.11887500000003,0.812206485204924,68,3.4421176470588235
대출 사기형,120.mp3,888.2678125,0.09147457,0.11601343680202818,9.147016120208679e-07,836.312,51.95581249999998,0.941508842526026,98,8.533795918367346
대출 사기형,121.mp3,101.124,0.035408054,0.15481404223347042,0.0,85.188,15.935999999999993,0.8424112970214787,15,5.6792
대출 사기형,122.mp3,98.899625,0.021228574,0.12223933900841152,0.0,83.016,15.883624999999995,0.8393965093396462,22,3.7734545454545456
대출 사기형,123.mp3,50.547,0.05449234,0.0977851191653481,0.0,34.2,16.346999999999994,0.6765980176865097,18,1.9000000000000001
대출 사기형,124.mp3,146.8604375,0.1292534,0.13481509140114378,0.0,141.36,5.500437499999975,0.9625464992912065,20,7.0680000000000005
대출 사기형,125.mp3,22.4914375,0.028273404,0.18371252111486486,0.0,18.18,4.3114375,0.8083076059500421,7,2.597142857142857
대출 사기형,126.mp3,89.2343125,0.109839536,0.21863812774515956,2.8016128885399324e-06,69.8,19.434312500000004,0.782210318480349,14,4.985714285714286
대출 사기형,127.mp3,24.6335,0.06359553,0.09700753348214286,0.0,21.4035,3.2300000000000004,0.8688777477824913,8,2.6754375
대출 사기형,128.mp3,34.9460625,0.03844656,0.09379690716491308,0.0,27.9240625,7.021999999999995,0.7990617684038082,12,2.3270052083333335
대출 사기형,129.mp3,44.1991875,0.25160012,0.0694292126447178,0.0,39.252,4.947187499999998,0.8880706234701713,11,3.5683636363636366
대출 사기형,13.mp3,259.6310625,0.022167202,0.10841408368252403,0.0,195.744,63.887062499999985,0.7539313598117714,88,2.2243636363636363
대출 사기형,130.mp3,118.8861875,0.08914374,0.11347164815157428,0.0,98.948,19.938187500000012,0.8322918084996206,31,3.1918709677419352
대출 사기형,131.mp3,241.9055,0.12702334,0.09606449187748016,3.6171149477791947e-06,238.356,3.5494999999999948,0.9853269148489803,11,21.66872727272727
대출 사기형,132.mp3,310.8571875,0.13101609,0.14085564566713846,0.003541819344292948,264.8831875,45.97399999999999,0.8521057197688248,86,3.0800370639534886
대출 사기형,133.mp3,386.5890625,0.03755685,0.11331018877783296,0.0,329.2,57.38906250000002,0.8515502168403949,60,5.486666666666666
대출 사기형,134.mp3,78.8114375,0.046909925,0.08902261279435647,0.0,69.816,8.995437499999994,0.8858612685500122,18,3.8786666666666667
대출 사기형,135.mp3,155.5273125,0.14070612,0.095062764381043,0.0,120.24,35.2873125,0.7731117966820137,44,2.7327272727272724
대출 사기형,136.mp3,82.6863125,0.13395871,0.09206217951818886,0.0,72.2683125,10.418000000000006,0.8740057491377426,21,3.441348214285714
대출 사기형,137.mp3,146.587625,0.054766476,0.08913909439123553,0.0,121.937625,24.650000000000006,0.8318411939616321,35,3.483932142857143
대출 사기형,138.mp3,246.15475,0.06166061,0.17339747528191213,0.0,242.62,3.5347500000000025,0.9856401308526446,9,26.95777777777778
대출 사기형,139.mp3,126.4094375,0.05449635,0.123584589937674,0.0,106.584,19.825437499999992,0.8431648942350527,26,4.099384615384616
대출 사기형,14.mp3,130.7980625,0.046247717,0.08434759987310421,0.0,119.96,10.838062499999992,0.9171389675592481,26,4.613846153846153
대출 사기형,140.mp3,166.9050625,0.11290183,0.09999206168519939,0.0,144.388,22.51706250000001,0.8650905960386911,31,4.6576774193548385
대출 사기형,141.mp3,521.10225,0.10974803,0.08234178907929075,0.0,461.152,59.95025000000004,0.8849549200756665,104,4.434153846153846
대출 사기형,142.mp3,116.030125,0.06393785,0.09753182311776062,0.0,96.964,19.066125,0.835679527191753,31,3.1278709677419356
대출 사기형,143.mp3,377.185,0.038323745,0.15050668913831863,0.0,321.656,55.528999999999996,0.8527804658191603,90,3.5739555555555556
대출 사기형,144.mp3,159.05675,0.05349471,0.12714004900296721,0.0,137.27075,21.786,0.8630300191598281,31,4.428088709677419
대출 사기형,145.mp3,883.9836875,0.09092644,0.09585333003393665,0.0,746.488,137.49568749999992,0.8444590217622088,194,3.847876288659794
대출 사기형,146.mp3,141.9668125,0.062882945,0.10817878246844714,0.0,126.948,15.01881250000001,0.8942089898651489,23,5.5194782608695645
대출 사기형,147.mp3,190.612625,0.11013592,0.09258237092391304,0.0,166.364,24.248625000000004,0.8727858398676372,25,6.65456
