epoch,train_loss,val_loss,val_acc
1,0.3492724120351407,0.018468550347757493,99.88881682572037
2,0.04362767477349421,0.018188327557139995,99.89344945798203
3,0.03324738211901058,0.021183105942409405,99.87955156119708
4,0.024560405000973107,0.020190008398559358,99.87955156119708
5,0.02466969050225459,0.02089314455209576,99.87491892893541
6,0.021450431469840207,0.019752095281922566,99.87955156119708
7,0.01862263854307004,0.019585094838227686,99.88418419345872
8,0.01924977778295612,0.018998688939518785,99.88418419345872
9,0.017471957029186292,0.019107985493761522,99.88881682572037
10,0.017248050526467416,0.018801638461921955,99.88418419345872
