epoch,train_loss,val_loss,val_acc
1,0.0787666435209018,0.02263183653442091,99.62012415454461
2,0.010433073428040205,0.015211741818381716,99.86102103215046
3,0.006609391219179559,0.006970268976714225,99.91197998702863
4,0.0022425845647122138,0.00895501340858357,99.91661261929028
5,0.0015169568926922813,0.009333832488748599,99.92587788381358
6,0.000981327521507149,0.013189708584931462,99.88418419345872
7,0.0001502332265090737,0.027533646496954018,99.8100620772723
8,0.0012149389843366077,0.008384787414898485,99.92124525155192
9,0.00010999373927488803,0.009597442857256248,99.93051051607523
10,9.136918337120125e-09,0.009898815165995173,99.92124525155192
